symbol	open	net change
DQU PRG	26.3	-0.75
DQZ	24.7	-0.14
DRD	29.6	0.43
DRE	23.0	0.15
DRE PRD	25.0	0.05
DRE PRE	25.2	0.05
DRE PRF	24.9	0.00
DRE PRI	25.9	-0.15
DRF	0.9	-0.04
DRI	32.4	1.82
DRQ	16.8	-0.09
DSF	6.7	0.04
DSL	34.9	0.54
DSM	9.0	-0.02
DSS	8.3	0.09
DST	41.5	-0.15
DSU	6.5	-0.01
DSW	25.1	0.13
DT	15.5	-0.21
DTA	24.8	-0.15
DTB	25.1	0.14
DTC	7.7	-0.08
DTE	41.2	0.23
DTF	14.5	-0.02
DTG	11.6	0.20
DTH	24.6	-0.04
DTL	16.1	0.32
DUC	13.3	0.13
DUK	38.5	0.70
DUK PRA	26.5	0.00
DUK PRQ	25.1	0.15
DUK PRT	25.6	-0.13
DUK PRU	25.4	-0.17
DUK PRV	25.9	-0.05
DUK PRW	27.6	0.00
DUT	25.8	0.19
DV	27.6	-0.59
DVA	17.7	0.80
DVD	12.1	-0.14
DVI	15.8	-0.07
DX	2.4	-0.03
DY	11.1	0.85
DYN	36.4	-0.40
DYS	10.7	0.10
E	63.0	0.36
EAC	12.9	0.14
EAI PRA	25.1	-0.10
EAS	18.8	0.15
EAT	24.2	1.04
EBF	8.9	0.02
EC	26.3	-0.28
ECJ	65.8	-0.25
ECL	35.3	-0.19
ECT	25.3	-0.04
ED	39.1	0.39
ED PRA	71.5	-0.45
ED PRC	0.0	0.00
EDE	21.3	-0.06
EDE PRD	26.2	0.19
EDF	11.2	-0.05
EDL	25.1	-0.06
EDO	27.5	0.25
EDP	23.9	-1.15
EDS	63.8	0.48
EDS PRI	54.2	0.90
EDV	25.8	0.13
EEP	42.9	1.14
EEX	1.7	-0.19
EF	10.5	0.04
EFL	11.4	0.25
EFX	22.0	0.13
EGN	24.1	0.81
EGP	20.7	0.21
EGP PRA	0.0	0.00
EGS PRA	25.0	0.06
EIR	4.5	0.20
EIS	16.9	0.10
EIX	14.5	-0.33
EIX PRA	16.1	-0.10
EIX PRB	17.2	-0.28
EK	27.7	-2.23
EKC	1.6	0.04
EKP PR	26.8	0.23
EKT	5.0	0.09
EL	33.0	-0.50
ELB	25.0	0.04
ELE	15.2	0.17
ELK	24.0	-0.47
ELN	45.6	0.57
ELN WSA	54.3	0.25
ELN WSB	37.0	0.80
ELO PRA	25.4	0.13
ELP	5.0	-0.11
ELT	0.0	0.00
ELY	14.2	0.21
EMC	12.4	0.32
EMD	12.4	0.14
EME	38.5	2.46
EMF	6.9	0.11
EMN	34.9	0.28
EMR	49.4	-0.37
EMS	22.0	0.37
EMT	2.8	0.05
EN	28.0	0.30
ENB	28.2	-0.20
ENC	4.8	-0.01
ENE	12.0	2.74
ENE PRA	17.4	3.25
ENE PRC	15.8	3.42
ENE PRJ	0.0	0.00
ENE PRR	15.3	3.79
ENE PRT	15.4	3.95
ENI	12.5	0.01
ENL	23.3	-0.30
ENN	7.9	0.07
ENN PRA	21.8	0.00
ENO	0.0	0.00
ENR	16.6	0.01
ENS PRF	0.0	0.00
ENT	10.4	-0.08
ENZ	20.2	0.58
EOC	8.7	0.19
EOG	35.4	-0.21
EON	52.2	0.55
EOP	27.3	0.24
EOP PRA	25.6	0.16
EOP PRB	43.6	0.69
EOP PRC	25.7	-0.01
EOP PRDCL	25.3	0.01
EOP PRE	24.7	0.14
EOP PRF	25.0	-0.02
EOT	18.8	-0.58
EPC	43.6	-0.65
EPD	46.4	0.20
EPG	49.5	-0.14
EPG PR	0.0	0.00
EPG PRC	0.0	0.00
EPI	25.4	0.23
EPL	7.4	0.11
EPN	36.9	0.33
EPR	16.2	0.63
EQR	25.7	0.32
EQR PRB	26.7	0.07
EQR PRC	26.7	0.07
EQR PRD	25.9	0.14
EQR PRE	28.5	0.15
