symbol	open	net change
UAL	13.8	-0.94
UAL PRB	16.5	-0.90
UAL PRT	18.4	-0.50
UB	32.9	1.04
UBB	15.7	0.43
UBH	13.8	-0.15
UBP	8.8	-0.04
UBP A	9.3	-0.03
UBS	46.6	0.37
UBS PR	26.0	0.10
UBT	24.6	0.20
UCI	14.8	0.35
UCL	32.6	-0.30
UCO	26.5	1.44
UCR	7.1	0.27
UCU	29.4	0.57
UCU PRW	31.5	0.60
UDL	35.9	-0.05
UDM	26.0	0.26
UDR	14.1	0.27
UDR PRB	25.9	0.13
UDS	50.5	-0.35
UDS PRA	24.6	0.05
UEP PRA	54.0	1.43
UEP PRC	0.0	0.00
UEP PRD	0.0	0.00
UEP PRE	72.0	1.60
UFI	7.5	0.10
UGI	29.1	0.05
UGP	5.9	0.00
UHS	40.4	0.01
UHT	24.8	0.24
UIC	19.7	-0.43
UIF	8.0	-0.03
UIL	48.7	0.65
UIS	8.8	0.08
UL	29.0	0.81
UMC	5.6	0.20
UMG PRB	25.1	-0.20
UMG PRC	25.4	0.08
UMG PRX	24.9	-0.10
UMG PRY	25.0	0.00
UN	52.0	1.58
UNA	3.5	-0.21
UNF	17.4	0.10
UNH	67.1	-1.08
UNM	22.9	-0.23
UNP	50.6	1.71
UNR	0.0	0.00
UNS	15.5	0.31
UNT	11.1	-0.05
UPC	41.0	-0.38
UPK	0.0	0.00
UPM	32.1	0.20
UPS	50.2	0.82
URI	18.7	-0.43
URS	22.9	-0.45
USA	10.8	0.35
USB	17.9	0.03
USB PRA	24.5	0.11
USB PRB	25.4	0.16
USG	5.0	0.49
USI	2.0	0.02
UST	32.8	0.82
USU	6.4	0.18
USV	14.0	0.18
USV PRA	19.0	-0.24
UTR	39.0	-0.17
UTX	53.5	0.43
UU	18.3	0.05
UVN	24.8	0.32
UVV	31.9	0.60
V	46.7	2.26
VAI	1.5	0.01
VAL	33.2	0.36
VAP	15.8	0.01
VAR	66.5	1.40
VBF	19.3	-0.07
VC	12.1	-0.16
VCD	3.0	0.06
VCI	31.5	-0.18
VCO	38.2	0.40
VCP	14.2	0.30
VCV	15.9	0.07
VDM	24.0	0.71
VE	38.6	0.50
VEA	25.0	-0.10
VEL PRE	0.0	0.00
VEL PRT	25.3	-0.15
VES	13.9	-0.01
VFC	32.4	0.71
VFM	14.8	-0.10
VG	1.2	0.05
VGM	14.9	0.03
VGR	41.4	-0.74
VHI	13.1	0.00
VIA	35.8	2.42
VIA B	35.6	1.40
VIC	15.6	0.01
VIG	8.7	0.04
VIM	15.1	-0.07
VIN	6.6	0.03
VIP	19.8	-0.10
VIT	4.2	0.04
VKA	14.4	-0.12
VKQ	13.7	0.08
VKS	13.3	0.00
VKV	13.8	-0.02
VLO	38.7	-0.80
VLO PRU	32.1	-0.26
VLT	5.6	-0.18
VLY	29.7	0.18
VMC	41.7	-0.15
VMO	15.7	-0.04
VMT	8.9	0.07
VNM	15.3	0.10
VNO	39.1	0.21
VNO PRA	53.9	0.05
VNO PRB	25.1	0.11
VNO PRC	25.0	0.10
VNT	21.9	0.76
VNV	14.9	0.01
VOD	23.3	0.26
VOL	11.2	0.43
VOQ	16.3	-0.02
VOT	13.3	0.04
VPA	25.4	0.12
VPI	17.6	0.04
VPQ	15.7	0.09
VPV	15.1	0.05
VQC	16.5	-0.06
VRC	15.2	-0.20
VSH	18.8	0.17
VSL	9.9	-0.25
VTA	12.8	0.55
VTF	15.1	0.06
VTJ	15.9	0.08
VTN	16.2	-0.03
VTO	2.3	0.04
VTP	16.1	0.01
VTR	12.6	-0.10
VTS	16.0	-0.54
VVC	21.1	-0.02
VVI	19.1	0.43
VVI PR	58.0	1.00
VVR	7.0	0.00
VZ	49.3	0.51
VZC	25.4	0.01
W	25.0	-0.36
WAB	12.4	-0.15
WAG	32.5	0.01
WAK	25.4	0.48
WAK B	19.2	0.03
WAT	35.4	0.21
WB	29.3	-0.17
WBK	37.0	0.14
WBK PRA	25.4	0.00
WCC	5.0	0.00
WCG	1.3	0.36
WCS	15.4	0.10
WDC	3.4	-0.05
WDR	25.9	-0.36
WE	26.3	0.00
WEC	22.2	0.29
WEC PRA	24.5	0.03
WEG	40.8	-0.04
WEH	6.2	0.06
WEN	26.2	0.15
WEN PRT	54.3	-0.45
WES	16.8	1.40
WFA	10.7	0.05
WFC	40.4	-0.35
WFC PRB	0.0	0.00
WFR	2.0	0.03
WFT	34.7	-0.50
WG	15.0	-0.42
WGL	27.0	-0.17
WGO	24.0	0.33
WGR	31.8	0.54
WGR PR	25.8	0.58
WGR PRA	48.5	0.50
WHC	14.1	1.27
WHR	59.7	-0.07
WHX	1.6	-0.02
WHX PR	0.0	0.00
WHX PRB	3.8	0.15
WIN	11.1	0.01
WIT	22.2	1.53
WL	56.8	0.04
WLL	46.7	0.24
WLM	12.3	0.38
WLP	111.5	0.59
WLS	12.5	0.50
WLT	10.0	0.64
WLV	12.0	-0.20
WM	31.1	-0.30
WMB	29.6	0.02
WMC	18.7	-0.35
WMI	26.5	-1.38
WMK	28.6	0.25
WMO	10.5	-0.04
WMS	17.5	0.45
WMT	50.7	0.80
WNC	7.3	0.14
WNI	1.5	0.00
WON	23.2	0.69
WOR	13.0	-0.10
WOS	33.3	0.75
WPC	21.3	0.65
WPI	48.1	-0.52
WPL	21.0	0.22
WPO	509.0	2.50
WPS	33.5	0.35
WPS PRA	25.4	0.35
WQP	25.2	0.17
WR	16.3	-0.12
WR PRA	22.3	-0.35
WR PRB	22.5	-0.38
WRC	16.7	0.57
WRC PR	17.9	-0.30
WRE	24.1	0.10
WRI	49.6	0.39
WRI PRA	24.9	-0.08
WRI PRC	50.0	0.10
WSF	25.0	0.02
WSH	23.4	0.05
WSM	26.7	0.60
WSO	12.7	0.31
WST	24.4	0.01
WTM	343.0	4.00
WTS	13.9	0.05
WTU	16.2	-0.17
WW	17.7	0.07
WWF	11.1	0.17
WWW	14.2	0.60
WWY	49.6	0.42
WXH	7.3	-0.21
WXH PRA	18.9	-0.15
WXS	2.5	0.05
WY	51.3	-0.47
WYN	0.6	0.03
WZR	5.8	0.23
X	14.6	0.03
X PRA	48.5	0.14
X PRZ	48.5	0.18
XAA	13.9	0.05
XCT	35.0	-0.20
XEL	28.3	0.12
XEL PRA	0.0	0.00
XEL PRB	0.0	0.00
XEL PRC	60.0	-0.92
XEL PRD	0.0	0.00
XEL PRE	0.0	0.00
XEL PRG	0.0	0.00
XGM	24.6	0.13
XKA	23.9	0.00
XKC	10.0	0.25
XKD	7.0	-0.40
XKE	10.0	0.40
XKI	24.1	0.00
XKJ	24.3	-0.23
XKK	9.9	-0.05
XKM	24.2	0.40
XL	89.2	-2.16
XLC PR	24.5	0.12
XNR	2.0	0.00
XOM	39.5	-0.01
XPP	0.0	0.00
XRX	6.8	0.19
XTO	18.5	-0.46
XVF	25.2	0.46
XWM	69.2	-0.20
Y	191.3	0.25
YCC	17.9	0.40
YCT	24.8	0.06
YLD	1.2	-0.02
YLH	1.4	0.04
YLT	1.4	0.00
YPF	16.4	-0.05
YRK	31.0	0.00
YUM	49.8	0.84
YZC	15.7	-0.92
Z	14.3	0.32
ZAP	20.0	0.04
ZF	8.0	-0.02
ZIF	3.6	-0.07
ZL	7.4	0.23
ZLC	28.2	0.52
ZMH	31.0	0.81
ZMX	5.8	-0.05
ZNH	12.3	0.02
ZNT	25.7	0.01
ZQK	13.0	0.27
ZTR	7.2	0.05
